DEPTH,CALI,RHOB,GR,NPHI,DT,SP,SDT
111.8616,12.7619,2.2704,110.7181,0.4677,139.1818,-228.1641,403.4326
112.014,12.7619,2.2755,108.2832,0.4672,139.6051,-229.2656,405.9475
112.1664,12.7619,2.2714,110.6905,0.4084,139.9595,-232.0938,406.5589
112.3188,12.7385,2.2652,105.6039,0.3779,140.1371,-227.7344,410.1653
112.4712,12.7385,2.2594,108.7672,0.4015,140.4552,-227.9844,412.7688
112.6236,12.7385,2.2537,107.0642,0.4288,140.9299,-227.4297,413.3388
112.776,12.7152,2.2532,103.5827,0.4282,141.1163,-226.8594,416.6187
112.9284,12.7385,2.2537,104.3879,0.4246,141.3111,-227.1484,417.9753
113.0808,12.6918,2.2534,103.0215,0.4371,141.2414,-226.2344,418.8713
113.2332,12.6802,2.254,109.2988,0.4893,140.1193,-226.4922,420.6817
113.3856,12.6918,2.2596,104.4791,0.4893,139.6761,-227.5625,419.5217
113.538,12.6568,2.2646,100.2388,0.42,139.2993,-229.5469,413.7638
113.6904,12.6568,2.2729,99.7536,0.4037,140.1595,-226.4844,411.0596
113.8428,12.6685,2.2779,104.4032,0.3675,140.0002,-226.9063,409.3341
113.9952,12.6918,2.2777,108.3668,0.3819,140.1132,-227.3594,409.8233
114.1476,12.6685,2.2662,104.646,0.3885,140.4731,-227.5469,415.8843
114.3,12.7852,2.2518,99.909,0.4097,140.8564,-227.8984,416.9287
114.4524,12.8085,2.2475,94.1288,0.3823,141.8314,-228.5234,420.1958
114.6048,12.7852,2.2558,95.7668,0.3911,141.2807,-230.4219,421.5589
114.7572,12.7619,2.2633,101.5416,0.4139,141.8909,-226.5625,421.988
114.9096,12.6685,2.2707,99.3048,0.4065,141.4664,-226.5469,415.5963
115.062,12.6452,2.2702,93.6518,0.4264,140.2265,-230.25,415.1795
115.2144,12.6685,2.2673,89.3497,0.4225,140.2765,-232.0859,414.3244
115.3668,12.6452,2.2626,98.0188,0.4516,140.3211,-229.6328,414.2778
115.5192,12.6452,2.2556,106.7183,0.4065,140.321,-226.2344,415.7563
115.6716,12.6452,2.2529,110.3581,0.3928,140.4184,-225.4375,415.8645
115.824,12.6452,2.2478,104.7509,0.3686,140.0758,-225.9531,409.4891
115.9764,12.6452,2.2466,98.9629,0.4304,139.8095,-226.5078,407.1628
116.1288,12.6218,2.2464,97.193,0.4415,139.213,-225.7266,405.0955
116.2812,12.6452,2.2547,93.8943,0.4382,138.4519,-225.382,404.1091
116.4336,12.6218,2.2619,92.8561,0.3963,138.7981,-227.3203,403.5234
116.586,12.6335,2.2702,94.3456,0.3838,138.3345,-228.0,394.6362
116.7384,12.6452,2.2677,99.2323,0.3454,138.2765,-227.3047,391.9116
116.8908,12.6802,2.2599,98.8548,0.3582,139.1763,-225.3125,396.6875
117.0432,12.7385,2.2498,92.9509,0.3528,140.8598,-224.2734,411.8007
117.1956,12.7502,2.2364,91.5239,0.3941,141.4491,-223.2109,414.4068
117.348,12.7385,2.2271,97.0875,0.3706,141.7386,-223.0357,410.7592
117.5004,12.7152,2.2193,101.8807,0.3781,142.8862,-224.7656,419.0917
117.6528,12.7152,2.1968,103.583,0.3848,142.61,-222.375,424.4114
117.8052,12.7152,2.1529,103.3398,0.3828,142.7107,-221.8889,418.3413
117.9576,12.7502,2.0884,101.9913,0.3417,141.3139,-219.9531,376.3058
118.11,12.7619,2.0614,98.619,0.2915,134.2248,-219.9531,333.0898
118.2624,12.8786,2.0655,94.0877,0.2934,122.6857,-220.3672,309.081
118.4148,12.6685,2.0958,97.362,0.3417,119.2168,-221.9063,291.0743
118.5672,12.5051,2.1076,102.4207,0.3684,121.2665,-220.4531,292.2747
118.7196,12.5518,2.1082,110.0705,0.3808,128.0084,-218.6016,310.6814
118.872,12.5751,2.0998,104.8249,0.4103,139.6415,-218.2578,323.1173
119.0244,12.5751,2.0968,104.0981,0.4462,140.8071,-218.3984,343.2415
119.1768,12.5751,2.1059,102.6456,0.4351,142.127,-219.8516,348.7778
